,cluster
49026,7
198236,3
81276,7
221059,4
215158,0
34391,0
144071,1
54652,8
125320,4
152268,6
122566,5
71763,8
214584,7
47806,2
150140,5
102465,6
139135,2
263439,0
163271,7
117167,5
180467,6
170096,0
62090,3
295442,0
39394,2
248771,3
169343,4
18848,0
227273,5
282544,0
68489,0
3022,1
118294,7
268910,2
149638,5
214144,2
122790,5
48318,2
114404,0
281331,5
123200,5
161170,5
8442,0
232992,4
105456,5
197859,3
222141,3
250266,5
166585,1
175109,4
176552,3
262164,1
60987,6
293364,6
4956,2
263565,0
296757,5
249764,1
59910,0
126642,0
169813,0
159281,8
119678,6
75344,4
8871,0
32989,7
237214,0
132768,7
166785,1
55758,1
234859,8
106388,2
258427,0
225594,8
226852,5
297196,7
239137,1
68799,0
253643,1
164182,0
244024,4
176612,3
292741,4
151418,4
34652,6
266030,7
17272,4
134637,0
10874,3
142698,3
271765,7
261477,3
292454,7
42434,6
31216,5
280633,8
283275,8
30908,5
78594,8
103688,8
88895,2
250902,2
71661,8
153369,8
47272,5
173106,5
36279,8
205272,7
103231,3
89502,2
18215,0
160455,1
96078,1
251128,7
15504,2
143855,1
219108,6
251050,2
119354,6
215317,0
289127,2
227184,5
47936,2
202383,6
179684,0
149960,5
223631,2
129071,8
257048,5
210811,4
249548,8
226686,1
243689,7
250729,2
155480,2
173107,5
112185,5
46749,5
244223,0
103214,3
127913,3
211732,6
297383,7
8821,0
205561,4
228314,7
257855,7
217489,2
206252,0
152211,6
275722,5
228262,7
31530,5
175366,0
26201,4
236390,2
73087,5
35153,6
156770,4
121900,1
292316,7
146846,4
208674,5
296215,8
235611,5
258607,0
117818,2
27829,0
228965,0
263675,0
296767,5
83152,0
35024,6
115174,6
2733,1
143522,8
288163,8
63369,8
144684,5
191028,2
2157,1
268555,5
27940,6
213007,1
41092,4
211968,6
167291,5
182096,1
241173,6
131549,2
279212,7
260306,7
272761,3
93121,6
82574,4
170481,6
95713,8
155538,2
14210,5
298453,8
143969,1
287046,4
288159,8
47414,5
241978,8
204407,5
74372,7
122932,5
77660,3
189023,1
98516,2
120791,8
288443,1
217160,5
89906,7
241370,6
261970,1
208946,5
15627,2
295824,6
193422,6
92456,0
127464,6
283148,3
112057,5
294387,5
110815,8
108213,0
271301,5
205777,4
283352,8
277116,6
99212,7
117940,7
9628,6
60439,0
235954,5
119100,0
27630,0
170259,6
153045,3
39506,2
214929,4
52248,6
239430,5
264896,1
154130,1
281028,1
179116,7
171186,3
236472,7
23471,5
124799,7
268274,1
281911,7
131756,2
37829,5
238638,8
134702,0
44975,8
154143,1
55252,1
179633,0
134625,0
237419,0
21240,8
260147,2
169334,4
114913,6
156071,7
76000,0
267748,8
270515,8
142010,6
253288,8
41702,0
196943,0
22516,1
277001,6
30655,1
705,3
292500,4
244520,0
203324,8
47376,5
174264,7
149219,1
131262,2
48824,7
273018,8
288676,5
11785,8
209840,7
27196,0
99846,7
210422,4
260549,4
30016,8
113216,7
14960,2
260042,2
238301,3
202438,6
249719,1
27239,0
46621,5
263440,0
29313,3
140391,4
237488,0
127638,3
291146,1
292592,4
122711,5
287195,0
190186,5
281186,1
217397,5
62472,3
37155,1
227150,5
241195,6
71772,8
166081,8
219732,1
3491,5
98283,2
82268,4
141962,6
284528,7
44540,8
238836,1
127026,6
161134,5
225062,3
292974,0
257728,7
194274,8
86688,1
21402,8
18504,0
82679,4
83010,0
8746,0
12233,1
14096,5
197738,6
256575,8
37981,5
115804,3
126446,0
40159,7
36939,1
255285,4
178737,7
281958,7
92212,0
234460,3
161841,2
98499,2
20787,3
252979,3
84128,3
164621,0
220185,5
52213,6
76866,6
141129,0
216839,1
98264,2
184483,7
245826,1
188553,8
104724,1
283252,8
122846,5
254517,2
63162,8
138797,2
60101,0
22027,1
271841,4
175478,0
224925,6
282270,4
104991,1
182822,5
272888,8
33163,7
10847,3
103636,8
66615,7
124871,7
142092,6
7123,4
82472,4
151912,0
84863,3
185239,4
164912,6
117358,5
144305,1
40572,4
228019,7
236315,2
56382,5
156163,7
39112,2
280001,0
296093,3
177073,8
173575,2
270148,6
44607,8
31388,5
58682,7
237477,0
242930,5
204710,2
89580,2
94770,3
130162,5
270676,8
67787,4
173216,5
208348,1
210925,0
276229,7
168812,7
4095,5
20892,3
275124,8
54554,8
174046,7
186021,0
256953,1
268769,2
140951,4
70912,3
136038,3
273856,2
76748,6
110055,3
101720,0
200343,2
196294,7
210800,4
40311,7
249263,8
55285,1
234119,6
222099,3
18621,0
155453,2
138617,5
207060,3
277211,6
297842,0
148599,8
12028,8
191582,7
223804,7
234158,6
91285,4
32581,7
26936,4
51634,0
258127,4
133036,4
68238,4
78818,1
146962,0
136405,8
91315,4
40324,7
250460,5
144829,5
298954,5
245917,1
249420,8
7570,4
256132,3
156147,7
135663,3
72704,5
16098,7
207187,3
157435,0
119314,6
208305,1
242272,1
258805,6
254813,7
157124,4
98070,5
72345,1
222511,8
201164,4
48210,2
236417,7
131143,5
246121,1
143831,1
212879,1
223874,7
295854,6
126010,0
262942,7
222862,1
258779,6
294599,5
119296,6
248740,3
154475,5
82098,4
194960,1
84167,3
167837,5
12951,1
45250,1
242415,1
12936,1
1831,8
259515,1
289644,4
93419,6
167864,5
19467,6
103628,8
61036,6
78428,8
100291,4
103440,3
244114,4
262793,2
190062,5
2141,1
111907,5
29340,3
6054,7
233696,0
126255,0
250762,2
20203,3
244393,0
171030,3
138353,5
135084,6
71254,8
276042,2
286473,2
186706,0
28828,3
132296,7
113314,7
193787,6
256,3
17819,4
212994,1
225684,8
22764,1
179699,0
220469,2
137628,1
278589,5
239044,1
32816,7
70562,3
57468,2
122307,5
220180,5
136740,8
220268,5
263096,7
226836,5
165309,6
58631,7
204135,5
81209,2
284983,0
125308,4
191020,2
298116,3
129194,1
8548,0
258932,6
231119,1
299524,4
2148,1
83032,0
190083,5
291306,1
72796,5
42269,6
129080,1
208768,5
2031,8
67956,4
40471,7
259937,5
59743,0
142158,6
50965,0
205686,4
291359,1
182860,5
103477,3
56375,5
94809,3
33893,4
44559,8
257392,5
12540,1
27241,0
295012,7
19010,0
293520,3
24149,5
124090,2
275176,8
252686,6
108003,4
91638,4
111168,1
202851,3
114143,4
140761,4
928,3
192178,4
46544,5
39275,2
